Model,Mean Accuracy,Std Accuracy,Mean Recall,Std Recall,Mean Precision,Std Precision,Mean Specificity,Std Specificity,Mean F1,Std F1,Mean AUC,Std AUC,Mean PR-AUC,Std PR-AUC,Mean MCC,Std MCC,Stability Score
LR,0.8374863387978142,0.04241577785863393,0.7913756613756614,0.07137419054732361,0.8505540662615673,0.06853773213236941,0.8768939393939393,0.06470623913441509,0.8364948396100619,0.04257094808351069,0.9059385020843354,0.039076696529886275,0.9039703405351905,0.04269777453913065,0.6765649846326904,0.08555608727888518,23.183599417311658
SVM,0.8342076502732241,0.03820160697977038,0.7782539682539684,0.06201080773565286,0.8521100334618157,0.06074653028983295,0.8817803030303031,0.057220595160834775,0.8330903346464373,0.03845626165042043,0.8990199114157449,0.03782511107009371,0.8973367381905034,0.044135667448977976,0.668975525202095,0.0772297202021657,23.76780562473341
kNN,0.8302841530054645,0.037468465843884205,0.7885185185185185,0.06425611703540467,0.8343683457305646,0.046716399074773395,0.8659469696969697,0.04366266042648826,0.8295398638729294,0.037861120080531246,0.8907114548260381,0.03871355403591074,0.8577851282002693,0.041373685131185875,0.6595590404317602,0.07533817949813708,23.007741190387016
RF,0.8315300546448089,0.04959027683679511,0.7769312169312169,0.0810878970842994,0.8485682544322293,0.06997295294761909,0.8779924242424244,0.06625901969197691,0.8302051997571414,0.050172128982468235,0.9047113997113998,0.036935444149036864,0.8985414113157306,0.03862214301861984,0.6643660869840516,0.09914975557631364,24.494395452953984
XGBoost,0.8038142076502731,0.046449146886020726,0.7638624338624338,0.08182528991041242,0.8034398694933691,0.06244444881204565,0.8377272727272728,0.06288214211571934,0.8027059820469656,0.04710860358951698,0.8786897747314413,0.03576432992548591,0.8741418456402684,0.04337753320778829,0.6075533704362668,0.09352368092547286,24.568886149783413
