Method,Mean Acc,Std Acc,Mean F1,Std F1,Mean AUC,Std AUC
LR (default),0.767692046515576,0.032283885337147836,0.7593875220409132,0.03396470293757042,0.8360751921733054,0.030292443470376577
SVM (default),0.7622154316271964,0.028378032701003548,0.7539723547492209,0.029599040108611044,0.8298342417889587,0.027633327512770936
kNN (default),0.7296613190730838,0.041032775398049844,0.7275268970473742,0.040505238486482124,0.7891266247379456,0.03520732661765571
RF (default),0.7637789661319071,0.0325960534751645,0.759903804242837,0.03336336520843909,0.8286831586303285,0.0326594941100262
XGBoost (default),0.7440081487140311,0.03443026240922303,0.7429316853288782,0.034427222909173015,0.8018750524109015,0.03604004053897772
Full Soft Voting,0.7689958407605468,0.030829282533993006,0.7643706946316938,0.031012241094523812,0.8364883298392732,0.031041696647888303
Full Stacking,0.764050589932943,0.03357264935733854,0.7575698227628493,0.03477444596742636,0.8385478686233404,0.03067645399876997
Pruned Soft Voting (default),0.7666513878278585,0.028949261332821916,0.7587993807275383,0.02993261704363749,0.8416588399720475,0.029144157483930483
Pruned Soft Voting (tuned),0.7666513878278585,0.028949261332821916,0.7587993807275383,0.02993261704363749,0.8416588399720475,0.029144157483930483
