Model,Mean Acc,Std Acc,Mean F1,Std F1,Mean AUC,Std AUC,Stability Score
LR,0.767692046515576,0.032283885337147836,0.7593875220409132,0.03396470293757042,0.8360751921733054,0.030292443470376577,27.60012296105438
SVM,0.7622154316271964,0.028378032701003548,0.7539723547492209,0.029599040108611044,0.8298342417889587,0.027633327512770936,30.03019492948325
kNN,0.7296613190730838,0.041032775398049844,0.7275268970473742,0.040505238486482124,0.7891266247379456,0.03520732661765571,22.41370413874343
RF,0.7637789661319071,0.0325960534751645,0.759903804242837,0.03336336520843909,0.8286831586303285,0.0326594941100262,25.373422211169746
XGBoost,0.7440081487140311,0.03443026240922303,0.7429316853288782,0.034427222909173015,0.8018750524109015,0.03604004053897772,22.24955960563099
