Method,Mean Acc,Std Acc,Mean F1,Std F1,Mean AUC,Std AUC
LR (default),0.8374863387978142,0.04241577785863393,0.8364948396100619,0.04257094808351069,0.9059385020843354,0.039076696529886275
SVM (default),0.8342076502732241,0.03820160697977038,0.8330903346464373,0.03845626165042043,0.8990199114157449,0.03782511107009371
kNN (default),0.8302841530054645,0.037468465843884205,0.8295398638729294,0.037861120080531246,0.8907114548260381,0.03871355403591074
RF (default),0.8315300546448089,0.04959027683679511,0.8302051997571414,0.050172128982468235,0.9047113997113998,0.036935444149036864
XGBoost (default),0.8038142076502731,0.046449146886020726,0.8027059820469656,0.04710860358951698,0.8786897747314413,0.03576432992548591
Full Soft Voting,0.832207650273224,0.03580859932309276,0.8311929521169104,0.03600782609232363,0.9095709575917909,0.03639162060593484
Full Stacking,0.8368087431693989,0.03947704672580063,0.8358575186358992,0.03977459177804453,0.909688351771685,0.037384393698382284
Pruned Soft Voting (default),0.8341748633879782,0.04299195182826943,0.8332580705677296,0.04317892494947018,0.9100942961359628,0.03707008564337751
Pruned Soft Voting (tuned),0.8388306010928962,0.0394963151683991,0.8376725437075578,0.03999275615370345,0.909982714045214,0.03533859696815923
