Model,Mean Accuracy,Std Accuracy,Mean Recall,Std Recall,Mean Precision,Std Precision,Mean Specificity,Std Specificity,Mean F1,Std F1,Mean AUC,Std AUC,Mean PR-AUC,Std PR-AUC,Mean MCC,Std MCC,Stability Score
LR,0.7564688905865377,0.04356046780414898,0.7162962962962963,0.06460179648990996,0.6376446844085434,0.06484421668597809,0.7780000000000001,0.05663920903402518,0.7591528343854143,0.04239075137114343,0.8365675751222922,0.031018684859420647,0.7201490081730043,0.055764310798650726,0.4843032566654661,0.08722656581007715,26.969794236728415
SVM,0.7476394194041254,0.02974640894460872,0.7477568134171908,0.046179147961320346,0.6162844247124939,0.04296605047242182,0.7475999999999999,0.04615452307195906,0.7519236479860294,0.02846826677577253,0.8258153738644305,0.029023437170065072,0.6773893573046921,0.06249515577406283,0.47921954326819927,0.055144557166190614,28.4533958046425
kNN,0.7122010016127663,0.03990236518071738,0.7410761705101327,0.05241914493754865,0.5697369640006283,0.049974878174622255,0.6968000000000001,0.05304488665272082,0.7181101409229673,0.03848956972758393,0.7802326345213139,0.03939518751932989,0.5916313500643935,0.0594141580810531,0.4205370861167531,0.07508437734696119,19.80527734087324
RF,0.7520567014684663,0.03349025258406244,0.7051572327044024,0.05342422962713754,0.6316370898984418,0.049958840279266316,0.7772000000000001,0.04413796551722792,0.7547249822397231,0.03244948911348015,0.825822781271838,0.03242003913722543,0.692400116884114,0.05705897241873557,0.4726004404061676,0.06776421239415209,25.472602062685585
XGBoost,0.7380171462524404,0.03029636898625937,0.6596505939902166,0.06530942655659615,0.6170844380761903,0.041595790798902174,0.78,0.03237282811247729,0.7396201426535062,0.030162155995495234,0.8007756813417192,0.030791810691624243,0.6658683864059962,0.05786278406655822,0.43396990103090455,0.06849510194656161,26.006124269704472
